абаджии	a b a d ʒ i i
абаджиите	a b a d ʒ i i t ɛ
абаджийката	a b a d ʒ i j k a t ə
абаджийки	a b a d ʒ i j k i
абаджийките	a b a d ʒ i j k i t ɛ
абаджийко	a b a d ʒ i j k o
абаджийства	a b a d ʒ i j s t v ə
абаджийствата	a b a d ʒ i j s t v a t ə
абаджийството	a b a d ʒ i j s t v o t o
абаджията	a b ə d ʒ i j a t ə
абажура	a b ə ʒ u r ə
абажуре	a b ə ʒ u r ɛ
абажури	a b ə ʒ u r i
абажурите	a b ə ʒ u r i t ɛ
абажурът	a b ə ʒ u r a t
абазийо	a b a z i j o
абазията	a b a z i j a t ə
абака	a b a k ə
абако	a b a k o
абакът	a b a k a t
абаноса	a b ə n o s ə
абаносе	a b ə n o s ɛ
абаносова	a b ə n o s o v ə
абаносовата	a b ə n o s o v a t ə
абаносови	a b ə n o s o v i
абаносовите	a b ə n o s o v i t ɛ
абаносовия	a b ə n o s o v i j a
абаносовият	a b ə n o s o v i j a t
абаносово	a b ə n o s o v o
абаносовото	a b ə n o s o v o t o
абаносът	a b ə n o s a t
абата	a b a t ə
абатства	a b a t s t v ə
абатствата	a b a t s t v a t ə
абатство	a b a t s t v o
абатството	a b a t s t v o t o
абаци	a b a ts i
абаците	a b a ts i t ɛ
абдала	a b d a ɫ ə
абдале	a b d a l ɛ
абдали	a b d a l i
абдалите	a b d a l i t ɛ
абдалът	a b d a ɫ a t
абдикации	a b d i k a ts i i
абдикациите	a b d i k a ts i i t ɛ
абдикацийо	a b d i k a ts i j o
абдикация	a b d i k a ts i j a
абдикацията	a b d i k a ts i j a t ə
абдикиралият	a b d i k i r a l i j a t
абдикирало	a b d i k i r a ɫ o
абдикиралото	a b d i k i r a ɫ o t o
абдикирам	a b d i k i r ə m
абдикираме	a b d i k i r ə m ɛ
абдикиранета	a b d i k i r a n ɛ t ə
абдикиранетата	a b d i k i r a n ɛ t a t ə
абдикирането	a b d i k i r a n ɛ t o
абдикирания	a b d i k i r a n i j a
абдикиранията	a b d i k i r a n i j a t ə
абдикират	a b d i k i r a t
абдикирате	a b d i k i r a t ɛ
абдикирах	a b d i k i r a x
абдикираха	a b d i k i r a x ə
абдикирахме	a b d i k i r a x m ɛ
абдикирахте	a b d i k i r a x t ɛ
абдикираш	a b d i k i r a ʃ
абдикираше	a b d i k i r a ʃ ɛ
абдикиращ	a b d i k i r a ʃ t
абдикираща	a b d i k i r a ʃ t ə
абдикиращата	a b d i k i r a ʃ t a t ə
абдикиращи	a b d i k i r a ʃ t i
абдикиращите	a b d i k i r a ʃ t i t ɛ
абдикиращия	a b d i k i r a ʃ t i j a
абдикиращият	a b d i k i r a ʃ t i j a t
абдикиращо	a b d i k i r a ʃ t o
абдикиращото	a b d i k i r a ʃ t o t o
абдукции	a b d u k ts i i
абдукциите	a b d u k ts i i t ɛ
абдукцийо	a b d u k ts i j o
абдукцията	a b d u k ts i j a t ə
аберации	a b ɛ r a ts i i
аберациите	a b ɛ r a ts i i t ɛ
аберацийо	a b ɛ r a ts i j o
аберацията	a b ɛ r a ts i j a t ə
абисинец	a b i s i n ɛ ts
абисинеца	a b i s i n ɛ ts ə
абисинецо	a b i s i n ɛ ts o
абисинецът	a b i s i n ɛ ts a t
абисинска	a b i s i n s k ə
абисинската	a b i s i n s k a t ə
абисинский	a b i s i n s k i j
абисинските	a b i s i n s k i t ɛ
абисинския	a b i s i n s k i j a
абисинският	a b i s i n s k i j a t
абисинско	a b i s i n s k o
абисинското	a b i s i n s k o t o
абисинци	a b i s i n ts i
абисинците	a b i s i n ts i t ɛ
абите	a b i t ɛ
абитуриента	a b i t u r i ɛ n t ə
абитуриенте	a b i t u r i ɛ n t ɛ
абитуриенти	a b i t u r i ɛ n t i
абитуриентите	a b i t u r i ɛ n t i t ɛ
абитуриентка	a b i t u r i ɛ n t k ə
абитуриентката	a b i t u r i ɛ n t k a t ə
абитуриентки	a b i t u r i ɛ n t k i
абитуриентко	a b i t u r i ɛ n t k o
абитуриентска	a b i t u r i ɛ n s k ə
абитуриентската	a b i t u r i ɛ n s k a t ə
абитуриентский	a b i t u r i ɛ n t s k i j
абитуриентските	a b i t u r i ɛ n s k i t ɛ
абитуриентския	a b i t u r i ɛ n s k i j a
абитуриентският	a b i t u r i ɛ n s k i j a t
абитуриентско	a b i t u r i ɛ n s k o
абитуриентското	a b i t u r i ɛ n s k o t o
абитуриентът	a b i t u r i ɛ n t a t
аблактации	a b ɫ ə k t a ts i i
аблактациите	a b ɫ ə k t a ts i i t ɛ
аблактацийо	a b ɫ ə k t a ts i j o
аблактация	a b ɫ ə k t a ts i j a
аблактацията	a b ɫ ə k t a ts i j a t ə
абонамент	ə b o n a m ɛ n t
абонаментна	a b o n a m ɛ n t n ə
абонаментната	a b o n a m ɛ n t n a t ə
абонаментни	a b o n a m ɛ n t n i
абонаментните	a b o n a m ɛ n t n i t ɛ
абонаментния	a b o n a m ɛ n t n i j a
абонаментният	a b o n a m ɛ n t n i j a t
абонаментно	a b o n a m ɛ n t n o
абонаментното	a b o n a m ɛ n t n o t o
абоната	a b o n a t ə
абонате	a b o n a t ɛ
абонати	a b o n a t i
абонатите	a b o n a t i t ɛ
абонатът	a b o n a t a t
абонирането	a b o n i r a n ɛ t o
абонирания	a b o n i r a n i j a
абониранията	a b o n i r a n i j a t ə
аборигена	a b o r i ɡ ɛ n ə
аборигене	a b o r i ɡ ɛ n ɛ
аборигени	a b o r i ɡ ɛ n i
аборигените	a b o r i ɡ ɛ n i t ɛ
аборигенска	a b o r i ɡ ɛ n s k ə
аборигенската	a b o r i ɡ ɛ n s k a t ə
аборигенский	a b o r i ɡ ɛ n s k i j
аборигенските	a b o r i ɡ ɛ n s k i t ɛ
аборигенския	a b o r i ɡ ɛ n s k i j a
аборигенският	a b o r i ɡ ɛ n s k i j a t
аборигенско	a b o r i ɡ ɛ n s k o
аборигенското	a b o r i ɡ ɛ n s k o t o
аборигенчета	a b o r i ɡ ɛ n tʃ ɛ t ə
аборигенчетата	a b o r i ɡ ɛ n tʃ ɛ t a t ə
аборигенчето	a b o r i ɡ ɛ n tʃ ɛ t o
аборигенът	a b o r i ɡ ɛ n a t
абортирам	a b o r t i r a m
абортирането	a b o r t i r a n ɛ t o
абортирания	a b o r t i r a n i j a
абортиранията	a b o r t i r a n i j a t ə
абразивна	a b r a z i v n ə
абразивната	a b r a z i v n a t ə
абразивни	a b r a z i v n i
абразивните	a b r a z i v n i t ɛ
абразивния	a b r a z i v n i j a
абразивният	a b r a z i v n i j a t
абразивно	a b r a z i v n o
абразивното	a b r a z i v n o t o
абразии	a b r a z i i
абразиите	a b r a z i i t ɛ
абразийо	a b r a z i j o
абразията	a b r a z i j a t ə
абревиатурата	a b r ɛ v i ə t u r a t ə
абревиатури	a b r ɛ v i ə t u r i
абревиатурите	a b r ɛ v i ə t u r i t ɛ
абревиатуро	a b r ɛ v i ə t u r o
абсолвента	a p s o ɫ v ɛ n t ə
абсолвенте	a p s o ɫ v ɛ n t ɛ
абсолвенти	a p s o ɫ v ɛ n t i
абсолвентите	a p s o ɫ v ɛ n t i t ɛ
абсолвентка	a p s o ɫ v ɛ n t k ə
абсолвентката	a p s o ɫ v ɛ n t k a t ə
абсолвентки	a p s o ɫ v ɛ n t k i
абсолвентките	a p s o ɫ v ɛ n t k i t ɛ
абсолвентко	a p s o ɫ v ɛ n t k o
абсолвентска	a p s o ɫ v ɛ n s k ə
абсолвентската	a p s o ɫ v ɛ n s k a t ə
абсолвентските	a p s o ɫ v ɛ n s k i t ɛ
абсолвентския	a p s o ɫ v ɛ n s k i j a
абсолвентският	a p s o ɫ v ɛ n s k i j a t
абсолвентско	a p s o ɫ v ɛ n s k o
абсолвентското	a p s o ɫ v ɛ n s k o t o
абсолвентът	a p s o ɫ v ɛ n t a t
абсолютен	a p s o l j u t ɛ n
абсолютизиране	a p s o l j u t i z i r a n ɛ
абсолютизирането	a p s o l j u t i z i r a n ɛ t o
абсолютизирания	a p s o l j u t i z i r a n i j a
абсолютизиранията	a p s o l j u t i z i r a n i j a t ə
абсолютна	a p s o l j u t n ə
абсолютната	a p s o l j u t n a t ə
абсолютни	a p s o l j u t n i
абсолютните	a p s o l j u t n i t ɛ
абсолютния	a p s o l j u t n i j a
абсолютният	a p s o l j u t n i j a t
абсолютно	a p s o l j u t n o
абсолютното	a p s o l j u t n o t o
абсорбира	a p s o r b i r ə
абсорбирай	a p s o r b i r a j
абсорбирайки	a p s o r b i r a j k i
абсорбирайте	a p s o r b i r a j t ɛ
абсорбирал	a p s o r b i r a ɫ
абсорбирала	a p s o r b i r a ɫ ə
абсорбиралата	a p s o r b i r a ɫ a t ə
абсорбирали	a p s o r b i r a l i
абсорбиралите	a p s o r b i r a l i t ɛ
абсорбиралия	a p s o r b i r a l i j a
абсорбиралият	a p s o r b i r a l i j a t
абсорбирало	a p s o r b i r a ɫ o
абсорбиралото	a p s o r b i r a ɫ o t o
абсорбирам	a p s o r b i r ə m
абсорбираме	a p s o r b i r ə m ɛ
абсорбиран	a p s o r b i r a n
абсорбирана	a p s o r b i r a n ə
абсорбираната	a p s o r b i r a n a t ə
абсорбиранета	a p s o r b i r a n ɛ t ə
абсорбиранетата	a p s o r b i r a n ɛ t a t ə
абсорбирани	a p s o r b i r a n i
абсорбираните	a p s o r b i r a n i t ɛ
абсорбираният	a p s o r b i r a n i j a t
абсорбирано	a p s o r b i r a n o
абсорбираното	a p s o r b i r a n o t o
абсорбират	a p s o r b i r a t
абсорбирате	a p s o r b i r a t ɛ
абсорбирах	a p s o r b i r a x
абсорбираха	a p s o r b i r a x ə
абсорбирахме	a p s o r b i r a x m ɛ
абсорбирахте	a p s o r b i r ə е t ɛ
абсорбираш	a p s o r b i r a ʃ
абсорбираше	a p s o r b i r a ʃ ɛ
абсорбиращ	a p s o r b i r a ʃ t
абсорбираща	a p s o r b i r a ʃ t ə
абсорбиращата	a p s o r b i r a ʃ t a t ə
абсорбиращи	a p s o r b i r a ʃ t i
абсорбиращите	a p s o r b i r a ʃ t i t ɛ
абсорбиращия	a p s o r b i r a ʃ t i j a
абсорбиращият	a p s o r b i r a ʃ t i j a t
абсорбиращо	a p s o r b i r a ʃ t o
абсорбиращото	a p s o r b i r a ʃ t o t o
абстрактна	a p s t r a k n ə
абстрактната	a p s t r a k n a t ə
абстрактни	a p s t r a k n i
абстрактните	a p s t r a k n i t ɛ
абстрактния	a p s t r a k n i j a
абстрактният	a p s t r a k n i j a t
абстрактно	a p s t r a k t n o
абстрактното	a p s t r a k n o t o
абсурден	a p s u r d ɛ n
абсурдна	a p s u r d n ə
абсурдната	a p s u r d n a t ə
абсурдни	a p s u r d n i
абсурдните	a p s u r d n i t ɛ
абсурдния	a p s u r d n i j a
абсурдният	a p s u r d n i j a t
